Hazard Name,Hazard Description,Likelihood,Severity
Fire or explosion hazard,Hazard involving: fire or explosion hazard.,2,1
Supervision failure,Hazard involving: supervision failure.,2,3
Egress/rescue hazard,Hazard involving: egress/rescue hazard.,1,4
Foreign bodies and dust exposure,Hazard involving: foreign bodies and dust exposure.,3,4
Electrical source hazard,Hazard involving: electrical source hazard.,2,2
System redundancy failure,Hazard involving: system redundancy failure.,1,3
Ventilation failure,Hazard involving: ventilation failure.,3,1
Flying object impact,Hazard involving: flying object impact.,4,3
Fire suppression system failure,Hazard involving: fire suppression system failure.,4,5
Foreign bodies and dust exposure,Hazard involving: foreign bodies and dust exposure.,4,3
Egress failure,Hazard involving: egress failure.,5,2
Extreme temperature exposure,Hazard involving: extreme temperature exposure.,4,4
Impact from object falling from vehicle,Hazard involving: impact from object falling from vehicle.,4,4
User error,Hazard involving: user error.,1,4
Motion-related energy source hazard,Hazard involving: motion-related energy source hazard.,2,1
Damage containment failure,Hazard involving: damage containment failure.,3,3
Component substitution error,Hazard involving: component substitution error.,1,1
Electrical source hazard,Hazard involving: electrical source hazard.,4,5
Cut or puncture projection exposure,Hazard involving: cut or puncture projection exposure.,2,4
Damage repair failure,Hazard involving: damage repair failure.,2,1
Security breach,Hazard involving: security breach.,5,1
Extreme temperature exposure,Hazard involving: extreme temperature exposure.,1,1
Toxic substance control failure,Hazard involving: toxic substance control failure.,5,3
Warning alarm failure,Hazard involving: warning alarm failure.,1,5
"Smoke exposure in vehicle, station or depot","Hazard involving: smoke exposure in vehicle, station or depot.",1,1
Extreme temperature exposure,Hazard involving: extreme temperature exposure.,1,5
Shock and vibration hazard,Hazard involving: shock and vibration hazard.,5,5
Electrical source hazard,Hazard involving: electrical source hazard.,2,3
EM interference affecting navigation/timing,Hazard involving: em interference affecting navigation/timing.,4,4
Sharp tools or machinery,Hazard involving: sharp tools or machinery.,5,2
Noise hazard,Hazard involving: noise hazard.,4,5
Exhaust gas exposure,Hazard involving: exhaust gas exposure.,3,2
Toxic substance control failure,Hazard involving: toxic substance control failure.,4,1
Ventilation failure,Hazard involving: ventilation failure.,1,1
Damage containment failure,Hazard involving: damage containment failure.,4,5
Toxic substance control failure,Hazard involving: toxic substance control failure.,2,1
Hazard containment failure,Hazard involving: hazard containment failure.,1,3
Derailment due to object on track,Hazard involving: derailment due to object on track.,2,1
Maintenance error,Hazard involving: maintenance error.,3,5
Electrostatic discharge including lightning,Hazard involving: electrostatic discharge including lightning.,2,4
Fire suppression system failure,Hazard involving: fire suppression system failure.,4,1
Inadvertent activation of system,Hazard involving: inadvertent activation of system.,1,5
Security breach,Hazard involving: security breach.,1,3
Exhaust gas exposure,Hazard involving: exhaust gas exposure.,3,3
EM interference affecting navigation/timing,Hazard involving: em interference affecting navigation/timing.,1,5
Collision between rail vehicles,Hazard involving: collision between rail vehicles.,3,3
Fail-safe design failure,Hazard involving: fail-safe design failure.,4,1
Exposed wiring or faulty equipment,Hazard involving: exposed wiring or faulty equipment.,1,2
Drop hazard,Hazard involving: drop hazard.,1,2
Material incompatibilities,Hazard involving: material incompatibilities.,3,5
Fire or explosion hazard,Hazard involving: fire or explosion hazard.,4,2
Supervision failure,Hazard involving: supervision failure.,5,2
Collision between rail vehicles,Hazard involving: collision between rail vehicles.,1,4
Electrostatic discharge including lightning,Hazard involving: electrostatic discharge including lightning.,3,1
Exposure to hazardous voltages,Hazard involving: exposure to hazardous voltages.,3,5
Insect/rodent/mould damage,Hazard involving: insect/rodent/mould damage.,3,2
"Slip, trip or fall hazard","Hazard involving: slip, trip or fall hazard.",4,3
Flammable materials,Hazard involving: flammable materials.,3,4
Fall from height,Hazard involving: fall from height.,5,5
Exposure to toxic/corrosive substances,Hazard involving: exposure to toxic/corrosive substances.,2,4
Hazardous construction materials,Hazard involving: hazardous construction materials.,1,4
"Flammable substances (solid, liquid, gas)","Hazard involving: flammable substances (solid, liquid, gas).",3,2
Component substitution error,Hazard involving: component substitution error.,1,2
Crash safety hazard,Hazard involving: crash safety hazard.,2,4
Hazardous material storage issue,Hazard involving: hazardous material storage issue.,5,5
Hydraulic arm or rotational machinery hazard,Hazard involving: hydraulic arm or rotational machinery hazard.,1,3
Impact from heavy object,Hazard involving: impact from heavy object.,1,5
Collision with rail structure,Hazard involving: collision with rail structure.,5,1
Derailment due to infrastructure failure,Hazard involving: derailment due to infrastructure failure.,5,4
Fire suppression system failure,Hazard involving: fire suppression system failure.,4,2
Health hazard,Hazard involving: health hazard.,5,3
Hydraulic system failure,Hazard involving: hydraulic system failure.,4,3
Electrical arcing exposure,Hazard involving: electrical arcing exposure.,2,5
Collision with rail structure,Hazard involving: collision with rail structure.,3,5
Electrical arcing exposure,Hazard involving: electrical arcing exposure.,3,2
Hardware/software control failure,Hazard involving: hardware/software control failure.,3,1
Electromagnetic interference risk,Hazard involving: electromagnetic interference risk.,2,2
Insect/rodent/mould damage,Hazard involving: insect/rodent/mould damage.,1,5
Extreme temperature exposure,Hazard involving: extreme temperature exposure.,1,1
Hardware/software control failure,Hazard involving: hardware/software control failure.,2,4
Derailment due to overspeed,Hazard involving: derailment due to overspeed.,1,3
Hostile act,Hazard involving: hostile act.,3,5
Collision between rail vehicles,Hazard involving: collision between rail vehicles.,5,3
Training inadequacy,Hazard involving: training inadequacy.,1,4
EM interference affecting navigation/timing,Hazard involving: em interference affecting navigation/timing.,1,3
Derailment due to object on track,Hazard involving: derailment due to object on track.,4,4
Fire suppression system failure,Hazard involving: fire suppression system failure.,5,4
Operator deviation,Hazard involving: operator deviation.,4,5
Failure of passive protective system,Hazard involving: failure of passive protective system.,5,5
Drop hazard,Hazard involving: drop hazard.,3,5
Fire or explosion hazard,Hazard involving: fire or explosion hazard.,3,2
Support equipment hazard,Hazard involving: support equipment hazard.,2,5
Toxic substance control failure,Hazard involving: toxic substance control failure.,5,2
Hazardous material storage issue,Hazard involving: hazardous material storage issue.,3,3
Fire/explosion initiation risk,Hazard involving: fire/explosion initiation risk.,3,1
Inadvertent activation of system,Hazard involving: inadvertent activation of system.,2,5
Derailment due to infrastructure failure,Hazard involving: derailment due to infrastructure failure.,4,5
Ergonomics/lighting related hazard,Hazard involving: ergonomics/lighting related hazard.,5,1
Explosion device,Hazard involving: explosion device.,3,2
Derailment due to rolling stock fault,Hazard involving: derailment due to rolling stock fault.,1,1
Warning alarm failure,Hazard involving: warning alarm failure.,3,4
Security breach,Hazard involving: security breach.,3,2
Design deviation,Hazard involving: design deviation.,5,1
Operator deviation,Hazard involving: operator deviation.,4,5
Maintenance error,Hazard involving: maintenance error.,5,2
Pressure system failure,Hazard involving: pressure system failure.,1,3
Ionising or non-ionising radiation,Hazard involving: ionising or non-ionising radiation.,2,2
"Fire in vehicle, station, depot or trackside","Hazard involving: fire in vehicle, station, depot or trackside.",1,1
Electrostatic discharge including lightning,Hazard involving: electrostatic discharge including lightning.,4,3
Health hazard,Hazard involving: health hazard.,1,5
Component substitution error,Hazard involving: component substitution error.,5,4
Exhaust gas exposure,Hazard involving: exhaust gas exposure.,2,4
Inadvertent activation of system,Hazard involving: inadvertent activation of system.,2,2
Operator deviation,Hazard involving: operator deviation.,2,1
Pressure system failure,Hazard involving: pressure system failure.,3,4
Hazardous construction materials,Hazard involving: hazardous construction materials.,5,3
Component substitution error,Hazard involving: component substitution error.,4,3
Toxic or corrosive substance exposure,Hazard involving: toxic or corrosive substance exposure.,1,1
Noise hazard,Hazard involving: noise hazard.,4,3
Laser radiation exposure,Hazard involving: laser radiation exposure.,4,4
EM interference affecting navigation/timing,Hazard involving: em interference affecting navigation/timing.,4,3
Impact from object falling from vehicle,Hazard involving: impact from object falling from vehicle.,3,2
Derailment due to overspeed,Hazard involving: derailment due to overspeed.,2,1
Hazardous surface hazard,Hazard involving: hazardous surface hazard.,3,4
Electrical protection failure,Hazard involving: electrical protection failure.,2,1
"Flammable substances (solid, liquid, gas)","Hazard involving: flammable substances (solid, liquid, gas).",3,3
Fire/explosion initiation risk,Hazard involving: fire/explosion initiation risk.,2,3
Security breach,Hazard involving: security breach.,1,1
Exhaust gas exposure,Hazard involving: exhaust gas exposure.,3,1
Electrostatic discharge including lightning,Hazard involving: electrostatic discharge including lightning.,4,5
Hardware/software control failure,Hazard involving: hardware/software control failure.,5,3
Exposed wiring or faulty equipment,Hazard involving: exposed wiring or faulty equipment.,4,5
Exposure to toxic/corrosive substances,Hazard involving: exposure to toxic/corrosive substances.,2,2
"Fire in vehicle, station, depot or trackside","Hazard involving: fire in vehicle, station, depot or trackside.",2,3
Hazard containment failure,Hazard involving: hazard containment failure.,1,5
Electrical arcing exposure,Hazard involving: electrical arcing exposure.,3,4
Operator deviation,Hazard involving: operator deviation.,4,5
Damage repair failure,Hazard involving: damage repair failure.,4,2
Explosion potential,Hazard involving: explosion potential.,1,4
Power supply failure,Hazard involving: power supply failure.,5,1
Noise hazard,Hazard involving: noise hazard.,1,5
Passive obstacle impact,Hazard involving: passive obstacle impact.,1,1
Derailment due to overspeed,Hazard involving: derailment due to overspeed.,4,4
Hazardous construction materials,Hazard involving: hazardous construction materials.,2,1
Warning alarm failure,Hazard involving: warning alarm failure.,4,1
Incident recording failure,Hazard involving: incident recording failure.,4,2
Exposed wiring or faulty equipment,Hazard involving: exposed wiring or faulty equipment.,4,1
Exposure to toxic/corrosive substances,Hazard involving: exposure to toxic/corrosive substances.,1,4
Hazardous material storage issue,Hazard involving: hazardous material storage issue.,1,4
Security breach,Hazard involving: security breach.,1,2
Warning alarm failure,Hazard involving: warning alarm failure.,2,5
Exposure to hazardous voltages,Hazard involving: exposure to hazardous voltages.,1,3
Collision between rail vehicles,Hazard involving: collision between rail vehicles.,5,4
Hydraulic system failure,Hazard involving: hydraulic system failure.,1,4
Damage containment failure,Hazard involving: damage containment failure.,5,5
User error,Hazard involving: user error.,3,1
System redundancy failure,Hazard involving: system redundancy failure.,2,2
Hazardous surface hazard,Hazard involving: hazardous surface hazard.,2,5
Toxic or corrosive substance exposure,Hazard involving: toxic or corrosive substance exposure.,1,4
Exposure to toxic/corrosive substances,Hazard involving: exposure to toxic/corrosive substances.,2,4
Ergonomics/lighting related hazard,Hazard involving: ergonomics/lighting related hazard.,2,4
Fall from height,Hazard involving: fall from height.,3,4
Toxic or corrosive substance exposure,Hazard involving: toxic or corrosive substance exposure.,1,3
Person trapped,Hazard involving: person trapped.,3,3
Flying object impact,Hazard involving: flying object impact.,5,2
Extreme pressure exposure,Hazard involving: extreme pressure exposure.,2,2
EM interference affecting navigation/timing,Hazard involving: em interference affecting navigation/timing.,5,3
Impact between rail vehicle and person,Hazard involving: impact between rail vehicle and person.,2,1
Exposure to toxic materials,Hazard involving: exposure to toxic materials.,2,4
Virus infection,Hazard involving: virus infection.,5,4
Fail-safe design failure,Hazard involving: fail-safe design failure.,1,2
Operator deviation,Hazard involving: operator deviation.,2,5
Flying object impact,Hazard involving: flying object impact.,4,2
Hazardous material storage issue,Hazard involving: hazardous material storage issue.,2,5
Egress failure,Hazard involving: egress failure.,2,1
Training inadequacy,Hazard involving: training inadequacy.,1,2
Extreme pressure exposure,Hazard involving: extreme pressure exposure.,3,5
Electrical arcing exposure,Hazard involving: electrical arcing exposure.,2,4
Toxic or corrosive substance exposure,Hazard involving: toxic or corrosive substance exposure.,5,2
Damage repair failure,Hazard involving: damage repair failure.,3,4
Sharp object exposure,Hazard involving: sharp object exposure.,3,4
Extreme temperature exposure,Hazard involving: extreme temperature exposure.,2,5
Exposed wiring or faulty equipment,Hazard involving: exposed wiring or faulty equipment.,1,4
Damage containment failure,Hazard involving: damage containment failure.,5,5
Pressure system failure,Hazard involving: pressure system failure.,2,4
EM interference affecting navigation/timing,Hazard involving: em interference affecting navigation/timing.,4,2
Egress failure,Hazard involving: egress failure.,3,1
Laser radiation exposure,Hazard involving: laser radiation exposure.,2,4
Cut or puncture projection exposure,Hazard involving: cut or puncture projection exposure.,1,3
Hydraulic system failure,Hazard involving: hydraulic system failure.,3,2
Ergonomics/lighting related hazard,Hazard involving: ergonomics/lighting related hazard.,1,4
Fire suppression system failure,Hazard involving: fire suppression system failure.,1,2
Toxic substance control failure,Hazard involving: toxic substance control failure.,1,5
Impact from heavy object,Hazard involving: impact from heavy object.,5,2
Virus infection,Hazard involving: virus infection.,4,1
Power supply failure,Hazard involving: power supply failure.,2,5
Collision with rail structure,Hazard involving: collision with rail structure.,4,3
Fire/explosion initiation risk,Hazard involving: fire/explosion initiation risk.,3,3
EM interference affecting navigation/timing,Hazard involving: em interference affecting navigation/timing.,1,4
Explosion potential,Hazard involving: explosion potential.,1,3
Interlock failure,Hazard involving: interlock failure.,1,1
Pressure system failure,Hazard involving: pressure system failure.,3,3
Exposure to toxic/corrosive substances,Hazard involving: exposure to toxic/corrosive substances.,5,3
System redundancy failure,Hazard involving: system redundancy failure.,4,4
Fire or explosion hazard,Hazard involving: fire or explosion hazard.,2,2
Electrical protection failure,Hazard involving: electrical protection failure.,2,1
"Fire in vehicle, station, depot or trackside","Hazard involving: fire in vehicle, station, depot or trackside.",1,1
Security breach,Hazard involving: security breach.,2,5
Security breach,Hazard involving: security breach.,2,1
Explosion potential,Hazard involving: explosion potential.,2,3
Insect/rodent/mould damage,Hazard involving: insect/rodent/mould damage.,4,1
Fire/explosion initiation risk,Hazard involving: fire/explosion initiation risk.,5,3
Electrical protection failure,Hazard involving: electrical protection failure.,5,5
Laser radiation exposure,Hazard involving: laser radiation exposure.,3,5
Exposed wiring or faulty equipment,Hazard involving: exposed wiring or faulty equipment.,4,3
Electrostatic discharge including lightning,Hazard involving: electrostatic discharge including lightning.,3,3
"Smoke exposure in vehicle, station or depot","Hazard involving: smoke exposure in vehicle, station or depot.",4,3
Extreme temperature exposure,Hazard involving: extreme temperature exposure.,5,1
Inadvertent activation of system,Hazard involving: inadvertent activation of system.,5,2
Derailment due to object on track,Hazard involving: derailment due to object on track.,3,5
Sharp tools or machinery,Hazard involving: sharp tools or machinery.,1,3
Operator deviation,Hazard involving: operator deviation.,5,3
Training inadequacy,Hazard involving: training inadequacy.,4,1
Damage containment failure,Hazard involving: damage containment failure.,3,2
Interlock failure,Hazard involving: interlock failure.,1,2
Support equipment hazard,Hazard involving: support equipment hazard.,4,5
Ergonomics/lighting related hazard,Hazard involving: ergonomics/lighting related hazard.,5,1
Hydraulic arm or rotational machinery hazard,Hazard involving: hydraulic arm or rotational machinery hazard.,3,5
Egress failure,Hazard involving: egress failure.,5,3
Exposure to toxic/corrosive substances,Hazard involving: exposure to toxic/corrosive substances.,3,4
Exposure to toxic/corrosive substances,Hazard involving: exposure to toxic/corrosive substances.,2,4
Wet or uneven floor surface,Hazard involving: wet or uneven floor surface.,5,3
Collision with object on track,Hazard involving: collision with object on track.,5,5
User error,Hazard involving: user error.,4,2
Person trapped,Hazard involving: person trapped.,2,2
Exposure to toxic materials,Hazard involving: exposure to toxic materials.,1,2
Person trapped,Hazard involving: person trapped.,2,5
Exposed wiring or faulty equipment,Hazard involving: exposed wiring or faulty equipment.,2,4
Passive obstacle impact,Hazard involving: passive obstacle impact.,4,2
Foreign bodies and dust exposure,Hazard involving: foreign bodies and dust exposure.,4,1
Toxic substance control failure,Hazard involving: toxic substance control failure.,3,4
Operator deviation,Hazard involving: operator deviation.,3,5
Exposed wiring or faulty equipment,Hazard involving: exposed wiring or faulty equipment.,1,5
PPE inadequacy,Hazard involving: ppe inadequacy.,1,5
Training inadequacy,Hazard involving: training inadequacy.,1,1
Ventilation failure,Hazard involving: ventilation failure.,3,3
Damage repair failure,Hazard involving: damage repair failure.,5,2
Electrical source hazard,Hazard involving: electrical source hazard.,3,2
Interlock failure,Hazard involving: interlock failure.,4,4
High temperature or cryogenic fluid exposure,Hazard involving: high temperature or cryogenic fluid exposure.,4,3
Collision with object on track,Hazard involving: collision with object on track.,2,3
High temperature or cryogenic fluid exposure,Hazard involving: high temperature or cryogenic fluid exposure.,2,3
Training inadequacy,Hazard involving: training inadequacy.,3,2
Laser radiation exposure,Hazard involving: laser radiation exposure.,2,2
Motion-related energy source hazard,Hazard involving: motion-related energy source hazard.,1,1
Toxic substance control failure,Hazard involving: toxic substance control failure.,1,5
Laser radiation exposure,Hazard involving: laser radiation exposure.,2,1
Maintenance error,Hazard involving: maintenance error.,3,4
Passive obstacle impact,Hazard involving: passive obstacle impact.,1,4
Flying object impact,Hazard involving: flying object impact.,4,1
Fire or explosion hazard,Hazard involving: fire or explosion hazard.,3,2
Laser radiation exposure,Hazard involving: laser radiation exposure.,2,2
Derailment due to object on track,Hazard involving: derailment due to object on track.,2,4
Electrical protection failure,Hazard involving: electrical protection failure.,4,1
System redundancy failure,Hazard involving: system redundancy failure.,4,3
Fall from height,Hazard involving: fall from height.,3,5
Passive obstacle impact,Hazard involving: passive obstacle impact.,5,4
Failure of passive protective system,Hazard involving: failure of passive protective system.,4,5
Cut or puncture projection exposure,Hazard involving: cut or puncture projection exposure.,4,2
Derailment due to rolling stock fault,Hazard involving: derailment due to rolling stock fault.,3,5
Fail-safe design failure,Hazard involving: fail-safe design failure.,3,2
Failure of passive protective system,Hazard involving: failure of passive protective system.,1,5
Egress failure,Hazard involving: egress failure.,2,4
Support equipment hazard,Hazard involving: support equipment hazard.,5,2
Hazard containment failure,Hazard involving: hazard containment failure.,5,3
Hazardous material assembly issue,Hazard involving: hazardous material assembly issue.,3,3
Impact from object falling from vehicle,Hazard involving: impact from object falling from vehicle.,4,4
Exposure to hazardous voltages,Hazard involving: exposure to hazardous voltages.,4,2
Fall from height,Hazard involving: fall from height.,5,2
Hardware/software control failure,Hazard involving: hardware/software control failure.,4,1
Motion-related energy source hazard,Hazard involving: motion-related energy source hazard.,2,5
Impact between rail vehicle and person,Hazard involving: impact between rail vehicle and person.,4,1
Ionising or non-ionising radiation,Hazard involving: ionising or non-ionising radiation.,1,3
Design deviation,Hazard involving: design deviation.,3,1
Exposed wiring or faulty equipment,Hazard involving: exposed wiring or faulty equipment.,3,5
Collision between rail vehicles,Hazard involving: collision between rail vehicles.,2,1
Warning alarm failure,Hazard involving: warning alarm failure.,2,2
Hydraulic arm or rotational machinery hazard,Hazard involving: hydraulic arm or rotational machinery hazard.,1,2
Sharp tools or machinery,Hazard involving: sharp tools or machinery.,4,3
Exposure to hazardous voltages,Hazard involving: exposure to hazardous voltages.,4,3
Extreme temperature exposure,Hazard involving: extreme temperature exposure.,2,4
Impact from heavy object,Hazard involving: impact from heavy object.,5,4
Fire suppression system failure,Hazard involving: fire suppression system failure.,1,2
Derailment due to object on track,Hazard involving: derailment due to object on track.,2,4
Electrical source hazard,Hazard involving: electrical source hazard.,2,4
Support equipment hazard,Hazard involving: support equipment hazard.,1,3
Wet or uneven floor surface,Hazard involving: wet or uneven floor surface.,5,4
Fire suppression system failure,Hazard involving: fire suppression system failure.,1,2
Interlock failure,Hazard involving: interlock failure.,4,4
Collision with rail structure,Hazard involving: collision with rail structure.,5,1
Fire/explosion initiation risk,Hazard involving: fire/explosion initiation risk.,4,5
Training inadequacy,Hazard involving: training inadequacy.,1,2
Failure of passive protective system,Hazard involving: failure of passive protective system.,2,3
Training inadequacy,Hazard involving: training inadequacy.,2,4
Operator deviation,Hazard involving: operator deviation.,5,4
Hazardous material assembly issue,Hazard involving: hazardous material assembly issue.,1,4
Drop hazard,Hazard involving: drop hazard.,5,1
Passive obstacle impact,Hazard involving: passive obstacle impact.,4,3
Explosion device,Hazard involving: explosion device.,4,2
Pressure system failure,Hazard involving: pressure system failure.,3,3
Hazardous material storage issue,Hazard involving: hazardous material storage issue.,4,4
Interlock failure,Hazard involving: interlock failure.,2,3
Extreme temperature exposure,Hazard involving: extreme temperature exposure.,4,3
Passive obstacle impact,Hazard involving: passive obstacle impact.,1,3
Derailment due to object on track,Hazard involving: derailment due to object on track.,4,2
Fire or explosion hazard,Hazard involving: fire or explosion hazard.,2,2
PPE inadequacy,Hazard involving: ppe inadequacy.,5,2
"Slip, trip or fall hazard","Hazard involving: slip, trip or fall hazard.",4,3
Electrical protection failure,Hazard involving: electrical protection failure.,3,2
EM interference affecting navigation/timing,Hazard involving: em interference affecting navigation/timing.,1,4
Collision with rail structure,Hazard involving: collision with rail structure.,3,2
Sharp object exposure,Hazard involving: sharp object exposure.,1,1
Flying object impact,Hazard involving: flying object impact.,2,2
Derailment due to infrastructure failure,Hazard involving: derailment due to infrastructure failure.,3,1
Fire/explosion initiation risk,Hazard involving: fire/explosion initiation risk.,5,2
Motion-related energy source hazard,Hazard involving: motion-related energy source hazard.,4,1
Security breach,Hazard involving: security breach.,4,2
Ionising or non-ionising radiation,Hazard involving: ionising or non-ionising radiation.,4,3
Wet or uneven floor surface,Hazard involving: wet or uneven floor surface.,5,4
Fire/explosion initiation risk,Hazard involving: fire/explosion initiation risk.,2,4
Fire suppression system failure,Hazard involving: fire suppression system failure.,1,5
Crash safety hazard,Hazard involving: crash safety hazard.,2,2
Pressure system failure,Hazard involving: pressure system failure.,2,2
Laser radiation exposure,Hazard involving: laser radiation exposure.,1,2
"Slip, trip or fall hazard","Hazard involving: slip, trip or fall hazard.",4,1
Ionising or non-ionising radiation,Hazard involving: ionising or non-ionising radiation.,2,3
Proof testing hazard,Hazard involving: proof testing hazard.,3,1
Foreign bodies and dust exposure,Hazard involving: foreign bodies and dust exposure.,4,4
Virus infection,Hazard involving: virus infection.,2,1
Fire/explosion initiation risk,Hazard involving: fire/explosion initiation risk.,4,1
Hydraulic system failure,Hazard involving: hydraulic system failure.,4,2
Laser radiation exposure,Hazard involving: laser radiation exposure.,3,5
Security breach,Hazard involving: security breach.,3,4
Flying object impact,Hazard involving: flying object impact.,3,3
System redundancy failure,Hazard involving: system redundancy failure.,2,1
Person trapped,Hazard involving: person trapped.,2,2
Maintenance error,Hazard involving: maintenance error.,3,3
Ventilation failure,Hazard involving: ventilation failure.,3,3
Ionising or non-ionising radiation,Hazard involving: ionising or non-ionising radiation.,4,1
Inadvertent activation of system,Hazard involving: inadvertent activation of system.,3,3
Noise hazard,Hazard involving: noise hazard.,3,3
Insect/rodent/mould damage,Hazard involving: insect/rodent/mould damage.,3,2
Explosion device,Hazard involving: explosion device.,3,2
Passive obstacle impact,Hazard involving: passive obstacle impact.,4,4
Explosion potential,Hazard involving: explosion potential.,4,5
Damage containment failure,Hazard involving: damage containment failure.,2,3
Proof testing hazard,Hazard involving: proof testing hazard.,3,4
Hydraulic system failure,Hazard involving: hydraulic system failure.,4,1
Electrical source hazard,Hazard involving: electrical source hazard.,2,1
Hardware/software control failure,Hazard involving: hardware/software control failure.,1,3
Component substitution error,Hazard involving: component substitution error.,2,4
Electrical source hazard,Hazard involving: electrical source hazard.,2,1
Training inadequacy,Hazard involving: training inadequacy.,5,3
Foreign bodies and dust exposure,Hazard involving: foreign bodies and dust exposure.,1,5
Toxic substance control failure,Hazard involving: toxic substance control failure.,2,4
EM interference affecting navigation/timing,Hazard involving: em interference affecting navigation/timing.,5,1
Design deviation,Hazard involving: design deviation.,2,2
Fall from height,Hazard involving: fall from height.,3,5
Person trapped,Hazard involving: person trapped.,5,4
Motion-related energy source hazard,Hazard involving: motion-related energy source hazard.,5,2
Electrical arcing exposure,Hazard involving: electrical arcing exposure.,4,3
Support equipment hazard,Hazard involving: support equipment hazard.,3,4
Hydraulic system failure,Hazard involving: hydraulic system failure.,5,4
Support equipment hazard,Hazard involving: support equipment hazard.,5,4
Exposure to toxic/corrosive substances,Hazard involving: exposure to toxic/corrosive substances.,1,2
Hydraulic system failure,Hazard involving: hydraulic system failure.,5,4
Hazardous material storage issue,Hazard involving: hazardous material storage issue.,2,5
Warning alarm failure,Hazard involving: warning alarm failure.,5,1
Fall from height,Hazard involving: fall from height.,2,4
Impact between rail vehicle and person,Hazard involving: impact between rail vehicle and person.,4,1
Fail-safe design failure,Hazard involving: fail-safe design failure.,4,3
Hydraulic arm or rotational machinery hazard,Hazard involving: hydraulic arm or rotational machinery hazard.,2,1
Insect/rodent/mould damage,Hazard involving: insect/rodent/mould damage.,5,2
Electrostatic discharge including lightning,Hazard involving: electrostatic discharge including lightning.,4,4
Damage repair failure,Hazard involving: damage repair failure.,4,4
Electromagnetic interference risk,Hazard involving: electromagnetic interference risk.,4,5
Health hazard,Hazard involving: health hazard.,2,5
Toxic substance control failure,Hazard involving: toxic substance control failure.,4,5
Toxic substance control failure,Hazard involving: toxic substance control failure.,4,2
Hydraulic arm or rotational machinery hazard,Hazard involving: hydraulic arm or rotational machinery hazard.,3,3
Collision between rail vehicles,Hazard involving: collision between rail vehicles.,5,2
Failure of passive protective system,Hazard involving: failure of passive protective system.,5,3
Exhaust gas exposure,Hazard involving: exhaust gas exposure.,4,4
Component substitution error,Hazard involving: component substitution error.,5,1
Supervision failure,Hazard involving: supervision failure.,4,4
Health hazard,Hazard involving: health hazard.,4,1
Material incompatibilities,Hazard involving: material incompatibilities.,2,2
Hydraulic arm or rotational machinery hazard,Hazard involving: hydraulic arm or rotational machinery hazard.,1,1
Hazard containment failure,Hazard involving: hazard containment failure.,1,5
Electrical arcing exposure,Hazard involving: electrical arcing exposure.,3,3
Warning alarm failure,Hazard involving: warning alarm failure.,3,4
User error,Hazard involving: user error.,1,2
Explosion potential,Hazard involving: explosion potential.,5,5
Maintenance error,Hazard involving: maintenance error.,5,5
Hazard containment failure,Hazard involving: hazard containment failure.,2,4
PPE inadequacy,Hazard involving: ppe inadequacy.,2,3
Insect/rodent/mould damage,Hazard involving: insect/rodent/mould damage.,5,4
Person trapped,Hazard involving: person trapped.,2,1
Impact between rail vehicle and person,Hazard involving: impact between rail vehicle and person.,4,2
Crash safety hazard,Hazard involving: crash safety hazard.,3,4
Inadvertent activation of system,Hazard involving: inadvertent activation of system.,5,4
Health hazard,Hazard involving: health hazard.,5,5
Collision with rail structure,Hazard involving: collision with rail structure.,2,2
Inadvertent activation of system,Hazard involving: inadvertent activation of system.,1,3
PPE inadequacy,Hazard involving: ppe inadequacy.,1,5
Foreign bodies and dust exposure,Hazard involving: foreign bodies and dust exposure.,2,2
Supervision failure,Hazard involving: supervision failure.,2,4
Foreign bodies and dust exposure,Hazard involving: foreign bodies and dust exposure.,4,2
Impact from heavy object,Hazard involving: impact from heavy object.,4,2
Motion-related energy source hazard,Hazard involving: motion-related energy source hazard.,5,4
Crash safety hazard,Hazard involving: crash safety hazard.,3,2
Design deviation,Hazard involving: design deviation.,2,4
Incident recording failure,Hazard involving: incident recording failure.,2,3
High temperature or cryogenic fluid exposure,Hazard involving: high temperature or cryogenic fluid exposure.,4,1
Sharp object exposure,Hazard involving: sharp object exposure.,4,4
Ventilation failure,Hazard involving: ventilation failure.,3,4
Warning alarm failure,Hazard involving: warning alarm failure.,1,4
Person trapped,Hazard involving: person trapped.,2,3
Motion-related energy source hazard,Hazard involving: motion-related energy source hazard.,1,4
Support equipment hazard,Hazard involving: support equipment hazard.,4,3
Pressure system failure,Hazard involving: pressure system failure.,2,5
Derailment due to rolling stock fault,Hazard involving: derailment due to rolling stock fault.,2,2
Foreign bodies and dust exposure,Hazard involving: foreign bodies and dust exposure.,4,3
User error,Hazard involving: user error.,4,5
Explosive substances,Hazard involving: explosive substances.,4,1
PPE inadequacy,Hazard involving: ppe inadequacy.,2,4
"Smoke exposure in vehicle, station or depot","Hazard involving: smoke exposure in vehicle, station or depot.",3,4
Electrostatic discharge including lightning,Hazard involving: electrostatic discharge including lightning.,2,5
Toxic substance control failure,Hazard involving: toxic substance control failure.,5,5
Hostile act,Hazard involving: hostile act.,4,3
Ergonomics/lighting related hazard,Hazard involving: ergonomics/lighting related hazard.,2,2
Insect/rodent/mould damage,Hazard involving: insect/rodent/mould damage.,4,1
Pressure system failure,Hazard involving: pressure system failure.,4,2
Collision with object on track,Hazard involving: collision with object on track.,2,5
